timelst,entropy_for_whole_project,NumEliteUser,NumPeripheralUser,RatioEliteUser,ProjectAge,NumOpenIssue,NumOpenPull,IssueAvgEvent,UserAvgEvent,entropy_for_peripheral_developer,entropy_for_whole_project_standard,NumEliteUser_standard,NumPeripheralUser_standard,RatioEliteUser_standard,projectAge_standard,NumOpenIssue_standard,NumOpenPull_standard,IssueAvgEvent_standard,UserAvgEvent_standard,entropy_for_peripheral_developer_standard
2010-06-21,0.0,0,0,0.0,2002,0,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3116412872595775,-2.099225792548808,-1.731434065768643,-1.377720876962781,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-06-22,0.0,0,0,0.0,2003,0,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3116412872595775,-2.099225792548808,-1.7306117271005028,-1.377720876962781,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-06-23,2.0,0,0,0.0,2004,0,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3116412872595775,-2.099225792548808,-1.729789388432363,-1.377720876962781,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-06-24,2.0,0,1,0.0,2005,1,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3105313434712782,-2.099225792548808,-1.7289670497642229,-1.3772712843041244,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-06-25,0.0,0,1,0.0,2006,2,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3105313434712782,-2.099225792548808,-1.728144711096083,-1.376821691645468,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-06-26,0.0,0,1,0.0,2007,2,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3105313434712782,-2.099225792548808,-1.7273223724279432,-1.376821691645468,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-06-27,0.0,0,1,0.0,2008,2,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3105313434712782,-2.099225792548808,-1.726500033759803,-1.376821691645468,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-06-28,10.754887502163468,0,1,0.0,2009,2,0,1.2,3.0,5.836591668108979,-1.129090089208442,-1.3317674322955615,-1.3105313434712782,-2.099225792548808,-1.7256776950916632,-1.376821691645468,-1.0739562630890045,-1.5839308328332615,-1.162530757283537,-1.1573997705040626
2010-06-29,4.0,0,2,0.0,2010,7,0,1.0,1.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.3094213996829789,-2.099225792548808,-1.7248553564235234,-1.374573728352187,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.1732197485693907
2010-06-30,0.0,0,3,0.0,2011,9,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.724033017755383,-1.373674543034875,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-01,0.0,0,3,0.0,2012,9,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7232106790872437,-1.373674543034875,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-02,0.0,0,3,0.0,2013,9,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7223883404191034,-1.373674543034875,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-03,0.0,0,3,0.0,2014,9,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7215660017509635,-1.373674543034875,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-04,0.0,0,3,0.0,2015,9,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7207436630828237,-1.373674543034875,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-05,2.0,0,3,0.0,2016,9,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7199213244146836,-1.373674543034875,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-07-06,0.0,0,3,0.0,2017,10,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7190989857465435,-1.3732249503762184,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-07,0.0,0,3,0.0,2018,10,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.718276647078404,-1.3732249503762184,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-08,2.7548875021634687,0,3,0.0,2019,10,0,2.0,1.0,1.8365916681089791,-1.1340811060627167,-1.3317674322955615,-1.3083114558946796,-2.099225792548808,-1.7174543084102638,-1.3732249503762184,-1.0739562630890045,-1.2052359325033617,-1.6676001227362116,-1.173893553980505
2010-07-09,5.609640474436811,0,4,0.0,2020,11,0,2.5,1.6666666666666667,3.887712379549449,-1.1323000910377907,-1.3317674322955615,-1.3072015121063802,-2.099225792548808,-1.716631969742124,-1.3727753577175623,-1.0739562630890045,-0.9685516197971736,-1.49924366758532,-1.1654358687558686
2010-07-10,2.0,0,6,0.0,2021,13,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3049816245297814,-2.099225792548808,-1.715809631073984,-1.3718761724002495,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-07-11,13.509775004326936,0,7,0.0,2022,14,0,1.3333333333333333,4.0,7.673183336217958,-1.1273713779640755,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.714987292405844,-1.3714265797415937,-1.0739562630890045,-1.520815016111612,-0.9099960745571996,-1.1498266841769558
2010-07-12,6.754887502163468,0,7,0.0,2023,19,0,1.3333333333333333,2.0,3.836591668108979,-1.1315855976355793,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.7141649537377042,-1.3691786164483124,-1.0739562630890045,-1.520815016111612,-1.4150654400098743,-1.165646662242284
2010-07-13,0.0,0,8,0.0,2024,20,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.713342615069564,-1.3687290237896563,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-14,2.0,0,8,0.0,2025,20,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7125202764014242,-1.3687290237896563,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-07-15,2.0,0,8,0.0,2026,21,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7116979377332842,-1.368279431131,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-07-16,18.75488750216347,0,8,0.0,2027,22,0,1.1111111111111112,3.333333333333333,9.83659166810898,-1.1240990723541668,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7108755990651443,-1.3678298384723435,-1.0739562630890045,-1.6260080439810285,-1.0783525297080914,-1.1409059870276204
2010-07-17,14.264662506490405,0,8,0.0,2028,30,0,1.5,3.0,8.509775004326936,-1.1269004209332782,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7100532603970044,-1.364233097203094,-1.0739562630890045,-1.4419202452095492,-1.162530757283537,-1.1463770437189595
2010-07-18,2.0,0,8,0.0,2029,36,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7092309217288644,-1.3615355412511567,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-07-19,6.0,0,8,0.0,2030,36,0,1.0,1.5,3.0,-1.1320565546663766,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7084085830607243,-1.3615355412511567,-1.0739562630890045,-1.678604557915737,-1.5413327813730429,-1.16909630270028
2010-07-20,4.0,0,8,0.0,2031,37,0,1.0,1.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7075862443925849,-1.3610859485925006,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.1732197485693907
2010-07-21,0.0,0,8,0.0,2032,37,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7067639057244446,-1.3610859485925006,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-22,6.754887502163468,0,8,0.0,2033,37,0,1.3333333333333333,2.0,3.836591668108979,-1.1315855976355793,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7059415670563047,-1.3610859485925006,-1.0739562630890045,-1.520815016111612,-1.4150654400098743,-1.165646662242284
2010-07-23,4.0,0,8,0.0,2034,38,0,1.0,1.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7051192283881649,-1.3606363559338444,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.1732197485693907
2010-07-24,4.0,0,8,0.0,2035,40,0,1.0,2.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7042968897200248,-1.359737170616532,-1.0739562630890045,-1.678604557915737,-1.4150654400098743,-1.1732197485693907
2010-07-25,4.754887502163468,0,8,0.0,2036,42,0,1.5,1.5,2.836591668108979,-1.132833351849148,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.703474551051885,-1.3588379852992196,-1.0739562630890045,-1.4419202452095492,-1.5413327813730429,-1.1697701081113945
2010-07-26,4.754887502163468,0,8,0.0,2037,44,0,1.5,1.5,2.836591668108979,-1.132833351849148,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.7026522123837449,-1.357938799981907,-1.0739562630890045,-1.4419202452095492,-1.5413327813730429,-1.1697701081113945
2010-07-27,8.0,0,8,0.0,2038,44,0,1.0,2.0,4.0,-1.1308088004528078,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.701829873715605,-1.357938799981907,-1.0739562630890045,-1.678604557915737,-1.4150654400098743,-1.1649728568311697
2010-07-28,4.0,0,8,0.0,2039,47,0,1.0,1.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.701007535047465,-1.3565900220059384,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.1732197485693907
2010-07-29,6.754887502163468,0,8,0.0,2040,49,0,1.3333333333333333,4.0,3.836591668108979,-1.1315855976355793,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.700185196379325,-1.355690836688626,-1.0739562630890045,-1.520815016111612,-0.9099960745571996,-1.165646662242284
2010-07-30,0.0,0,8,0.0,2041,52,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6993628577111852,-1.3543420587126571,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-07-31,0.0,0,8,0.0,2042,52,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6985405190430451,-1.3543420587126571,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-01,0.0,0,8,0.0,2043,52,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6977181803749053,-1.3543420587126571,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-02,0.0,0,8,0.0,2044,52,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6968958417067654,-1.3543420587126571,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-03,6.754887502163468,0,8,0.0,2045,52,0,1.3333333333333333,2.0,3.836591668108979,-1.1315855976355793,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6960735030386254,-1.3543420587126571,-1.0739562630890045,-1.520815016111612,-1.4150654400098743,-1.165646662242284
2010-08-04,4.0,0,8,0.0,2046,55,0,1.0,2.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6952511643704855,-1.352993280736689,-1.0739562630890045,-1.678604557915737,-1.4150654400098743,-1.1732197485693907
2010-08-05,2.0,0,8,0.0,2047,56,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6944288257023454,-1.3525436880780326,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-08-06,0.0,0,8,0.0,2048,57,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6936064870342056,-1.3520940954193763,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-07,0.0,0,8,0.0,2049,57,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6927841483660655,-1.3520940954193763,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-08,2.7548875021634687,0,8,0.0,2050,57,0,2.0,2.0,1.8365916681089791,-1.1340811060627167,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6919618096979256,-1.3520940954193763,-1.0739562630890045,-1.2052359325033617,-1.4150654400098743,-1.173893553980505
2010-08-09,2.0,0,8,0.0,2051,58,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.3027617369531828,-2.099225792548808,-1.6911394710297858,-1.35164450276072,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-08-10,13.245112497836532,0,9,0.0,2052,58,0,1.3333333333333333,2.0,7.433834373377398,-1.1275364948428992,-1.3317674322955615,-1.3016517931648834,-2.099225792548808,-1.690317132361646,-1.35164450276072,-1.0739562630890045,-1.520815016111612,-1.4150654400098743,-1.1508136266690565
2010-08-11,0.0,0,7,0.0,2053,62,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.689494793693506,-1.3498461321260953,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-12,2.0,0,7,0.0,2054,62,0,1.0,1.0,1.0,-1.134552063093514,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.688672455025366,-1.3498461321260953,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.177343194438501
2010-08-13,4.0,0,7,0.0,2055,62,0,1.0,1.0,2.0,-1.1333043088799453,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.687850116357226,-1.3498461321260953,-1.0739562630890045,-1.678604557915737,-1.6676001227362116,-1.1732197485693907
2010-08-14,0.0,0,7,0.0,2056,63,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.687027777689086,-1.349396539467439,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-15,0.0,0,7,0.0,2057,63,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.6862054390209462,-1.349396539467439,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
2010-08-16,0.0,0,7,0.0,2058,63,0,0.0,0.0,0.0,-1.135799817307083,-1.3317674322955615,-1.303871680741482,-2.099225792548808,-1.685383100352806,-1.349396539467439,-1.0739562630890045,-2.1519731833281126,-1.9201348054625489,-1.1814666403076115
