timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2011-08-19,2,0,0,1,91.66077079940804,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,0.1946935187584285
2011-08-20,3,0,0,2,156.66679308331592,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,1.0704210490039274
2011-08-21,4,0,0,3,140.97218468072546,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.6560333254923917,0.8589913972319078
2011-08-22,4,0,0,3,196.3307847786117,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.6560333254923917,1.6047538425918515
2011-08-23,4,0,0,2,111.4986352236101,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,0.4619389739822296
2011-08-24,3,0,0,2,103.16733371271272,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,0.349703986522078
2011-08-25,2,0,0,1,95.8269595807257,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,0.2508182604949029
2011-08-26,3,0,0,2,93.22614088670144,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,0.2157813754262096
2011-08-27,2,0,0,1,100.03162616203232,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,0.3074613552634461
2011-08-28,2,0,0,1,31.861284524496664,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.6108942496603958
2011-08-29,2,0,0,1,37.2569163958,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.5382070861213948
2011-08-30,2,0,0,1,42.41662244444284,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.4686981933139463
2011-08-31,3,0,0,2,18.279565475879124,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.7938601482195882
2011-09-01,2,0,0,1,36.9666296559038,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.5421176790304959
2011-09-02,4,0,0,2,92.96421032612116,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,0.2122527823073906
2011-09-03,3,0,0,2,52.80216998140204,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.3287894652415331
2011-09-04,3,0,0,2,22.95638107292996,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.7308565059673101
2011-09-05,2,0,0,0,32.49511865532675,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.591906123746916,-0.6023555638821317
2011-09-06,2,0,0,1,31.384758734691964,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.6173137587818955
2011-09-07,2,0,0,0,35.4703577098101,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.591906123746916,-0.5622746812572361
2011-09-08,3,0,0,1,41.30113238326294,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.4837254988153367
2011-09-09,2,0,0,1,55.78010313587547,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.288672289094166
2011-09-10,2,0,0,2,54.60203045902893,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.3045426752445259
2011-09-11,1,0,0,0,14.01252488315523,-2.314111621340448,-0.4801176580453061,-0.7562780292058592,-1.591906123746916,-0.8513435134284824
2011-09-12,4,0,0,3,112.16972096233506,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.6560333254923917,0.4709794941664968
2011-09-13,2,0,0,1,66.19485568556057,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.1483701261865379
2011-09-14,2,0,0,1,60.519281402275865,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.2248285291960104
2011-09-15,2,0,0,2,49.289095621822696,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.3761157870867136
2011-09-16,3,0,0,2,76.43802497326126,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.0103794442920508
2011-09-17,3,0,0,2,55.71114674354746,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,-0.289601233967678
2011-09-18,3,0,0,3,123.3802870832409,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.6560333254923917,0.6220024461452862
2011-09-19,3,0,0,3,119.70739068431438,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-0.6560333254923917,0.572523084398894
2011-09-20,4,0,0,2,162.6093069695435,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.9679909249105664,1.1504755243617266
2011-09-21,4,0,0,3,117.07595295231074,0.0833324906946373,-0.4801176580453061,-0.7562780292058592,-0.6560333254923917,0.5370737154776885
2011-09-22,3,0,0,1,99.3750145377457,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,0.2986158228671446
2011-09-23,3,0,0,1,41.308805118280674,-0.7158155466503909,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.4836221356952558
2011-09-24,1,0,0,1,36.78533429331596,-2.314111621340448,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,-0.5445599964427291
2011-09-25,0,0,0,0,41.57934672347503,-3.113259658685476,-0.4801176580453061,-0.7562780292058592,-1.591906123746916,-0.4799775390344915
2011-09-26,2,0,0,1,87.14838932117887,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,0.1339050479580336
2011-09-27,0,0,0,0,94.75769848794144,-3.113259658685476,-0.4801176580453061,-0.7562780292058592,-1.591906123746916,0.2364137277597355
2011-09-28,2,0,0,1,90.18440448571566,-1.5149635839954192,-0.4801176580453061,-0.7562780292058592,-1.2799485243287412,0.1748046749220703
