timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2013-05-06,0,0,0,0,3.169925001442312,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.0924703805139844
2013-05-07,0,0,0,0,3.2501121082417708,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.0913356418771856
2013-05-08,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-09,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-10,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-11,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-12,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-13,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-14,0,0,0,0,1.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.1231772838600609
2013-05-15,1,0,0,1,3.169925001442312,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.0924703805139844
2013-05-16,1,0,0,1,16.99735285398626,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-0.8967965713681898
2013-05-17,3,0,0,1,2.5032583347756456,-0.4143833383639558,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.101904471039591
2013-05-18,1,0,0,1,0.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.137328419648471
2013-05-19,0,0,0,0,1.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.1231772838600609
2013-05-20,0,0,0,1,1.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.1231772838600609
2013-05-21,1,0,0,0,0.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-22,1,0,0,1,0.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.137328419648471
2013-05-23,2,0,0,0,3.169925001442312,-1.04011405274162,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.0924703805139844
2013-05-24,1,0,0,1,3.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.0948750122832402
2013-05-25,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-26,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-27,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-28,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-05-29,0,0,0,0,1.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.1231772838600609
2013-05-30,1,0,0,1,1.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.1231772838600609
2013-05-31,1,0,0,1,0.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.137328419648471
2013-06-01,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-02,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-03,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-04,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-05,1,0,0,1,0.9182958340544896,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.1243334906068343
2013-06-06,0,0,0,1,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.137328419648471
2013-06-07,1,0,0,1,0.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.137328419648471
2013-06-08,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-09,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-10,1,0,0,1,1.0,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.1231772838600609
2013-06-11,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-12,1,0,0,0,13.68680750740286,-1.6658447671192842,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-0.943644548101381
2013-06-13,0,0,0,0,1.8365916681089791,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.1113385615651978
2013-06-14,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-15,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-16,0,0,0,0,0.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.137328419648471
2013-06-17,0,0,0,0,2.0,-2.2915754814969485,-0.7056690075344556,-0.9884649105798468,-1.517608282576835,-1.1090261480716506
2013-06-18,2,0,0,1,0.0,-1.04011405274162,-0.7056690075344556,-0.9884649105798468,-1.1950514909180363,-1.137328419648471
