timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2009-10-22,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-23,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-24,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-25,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-26,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-27,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-28,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-29,0,0,0,0,1.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8354568135786569
2009-10-30,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-10-31,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-01,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-02,0,0,0,0,1.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8354568135786569
2009-11-03,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-04,0,0,0,0,1.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8354568135786569
2009-11-05,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-06,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-07,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-08,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-09,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-10,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2009-11-11,0,0,0,0,277.8011212088241,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,1.5306643828570676
2009-11-12,0,0,0,0,260.2990343081591,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,1.381054949858126
2009-11-13,0,0,0,0,184.3738826406056,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,0.7320398377854201
2009-11-14,0,0,0,0,125.1734494506288,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,0.2259891426247404
2009-11-15,0,0,0,0,255.93405671618532,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,1.3437427238193291
2009-11-16,0,0,0,0,86.67218760905692,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.1031231504722899
2009-11-17,0,0,0,0,161.1142076124506,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,0.5332140170445984
2009-11-18,0,0,0,0,76.58818942232446,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.1893220854702687
2009-11-19,0,0,0,0,61.6337750581952,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.3171537815729546
2009-11-20,0,0,0,0,123.01563844459216,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,0.2075439776016054
2009-11-21,0,0,0,0,43.61225458270528,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.4712033800819428
2009-11-22,0,0,0,0,34.2836835970725,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.5509448545570734
2009-11-23,0,0,0,0,88.71725492967273,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.085641728741355
2009-11-24,0,0,0,0,86.34870956291705,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.1058882702745892
2009-11-25,0,0,0,0,50.421791431534814,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.4129948388536348
2009-11-26,0,0,0,0,29.815192802125143,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.5891419208833563
2009-11-27,0,0,0,0,4.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8098125403246045
2009-11-28,0,0,0,0,6.509775004326937,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7883587549855542
2009-11-29,0,0,0,0,83.16668668097202,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.1330884917030045
2009-11-30,0,0,0,0,51.40927396428288,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.4045537482191698
2009-12-01,0,0,0,0,16.5,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7029614017660526
2009-12-02,0,0,0,0,154.47090737874944,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,0.4764264815440174
2009-12-03,1,1,0,1,89.57459981879309,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.0783130665381658
2009-12-04,1,1,0,1,26.461396755811467,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.617810474966699
2009-12-05,1,0,0,1,1.8365916681089791,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.8283055517989735
2009-12-06,1,0,0,0,2.9182958340544896,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8190590460617889
2009-12-07,1,0,0,0,0.8112781244591328,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8370700253604526
2009-12-08,1,1,0,1,2.5827936132549514,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.8219269496042972
2009-12-09,1,0,0,1,27.82464054632224,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.6061573428747828
2009-12-10,1,1,0,1,37.018161304164366,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.527570290047814
2009-12-11,1,1,0,1,18.487719795452737,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6859701919036929
2009-12-12,1,1,0,1,8.652175050728598,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7700453242490812
2009-12-13,1,1,0,1,13.418295834054488,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7293040896726054
2009-12-14,1,1,0,1,20.649864403378665,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6674879828568835
2009-12-15,1,1,0,1,26.762152023829216,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6152395915414848
2009-12-16,1,1,0,1,78.07105580325168,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.1766464085796869
2009-12-17,1,1,0,1,28.176441670993604,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6031501148173977
2009-12-18,1,0,0,0,6.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7927163581552361
2009-12-19,1,0,0,0,3.4338343733773984,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8146521756699918
2009-12-20,1,0,0,0,1.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8354568135786569
2009-12-21,1,0,0,0,9.60375937481971,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7619110947719928
2009-12-22,1,0,0,0,9.91829583405449,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7592224084689999
2009-12-23,1,1,0,1,21.74208913543638,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6581515463623092
2009-12-24,1,0,0,1,11.00499961040524,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.7499331656066835
2009-12-25,1,0,0,1,0.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.844004904663341
2009-12-26,1,0,0,0,2.836591668108979,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8197574607142893
2009-12-27,1,0,0,0,1.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8354568135786569
2009-12-28,1,1,0,1,29.119483810440023,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.5950889047127144
2009-12-29,1,1,0,1,15.823421665653846,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7087448549939676
2009-12-30,1,1,0,1,11.759887112568707,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7434803184795005
2009-12-31,0,0,0,0,0.0,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2010-01-01,1,0,0,0,0.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.844004904663341
2010-01-02,1,0,0,0,2.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8269087224939727
2010-01-03,1,1,0,1,26.220552088742004,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6198692371180693
2010-01-04,1,0,0,0,6.0,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7927163581552361
2010-01-05,1,0,0,0,7.836591668108979,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.7770170052908686
2010-01-06,1,1,0,1,36.96198286318198,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.528050508478327
2010-01-07,1,1,0,1,4.921928094887362,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.801931814995978
2010-01-08,0,1,0,1,33.38194142865019,-1.5963012481195138,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.558653028747648
2010-01-09,0,0,0,0,3.887712379549449,-1.5963012481195138,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8107723851318982
2010-01-10,1,0,0,1,17.921554168830134,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.6908098272490802
2010-01-11,1,0,0,1,17.923295444459733,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.6907949426663949
2010-01-12,1,0,0,1,17.282776784806316,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.6962701545105521
2010-01-13,1,0,0,1,6.309266548379584,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-0.9450880540389776,-0.7900727195302416
2010-01-14,1,1,0,1,16.7357092861044,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7009465373189264
2010-01-15,1,1,0,1,21.27059344560237,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.6621819344650464
2010-01-16,1,0,0,0,4.169925001442312,-1.0866291506912475,-1.218190940237038,-0.0565919103866993,-1.218782604929069,-0.8083600059347105
2010-01-17,1,1,0,1,12.428070838381426,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7377686231299497
2010-01-18,1,1,0,1,37.00441972289249,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.5276877543361735
2010-01-19,1,1,0,1,78.07543592619412,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.1766089668898129
2010-01-20,1,1,0,1,7.245112497836531,-1.0866291506912475,0.2646793652605754,-0.0565919103866993,-0.9450880540389776,-0.7820730231130509
