timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2009-04-01,0,0,0,0,1.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.92787832318062
2009-04-02,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-03,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-04,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-05,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-06,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-07,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-08,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-09,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-10,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-11,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-12,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-13,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-14,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-15,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-16,0,0,0,0,1.8365916681089791,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9203988274403068
2009-04-17,0,0,0,0,6.13782448779122,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.8819439231192691
2009-04-18,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-19,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-20,0,0,0,0,1.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.92787832318062
2009-04-21,0,0,0,0,1.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.92787832318062
2009-04-22,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-23,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-24,0,0,0,0,1.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.92787832318062
2009-04-25,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-26,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-27,0,0,0,0,0.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.9368187609418752
2009-04-28,0,0,0,0,1.0,-2.217101327114636,-0.8994462638233989,-0.7040152821259493,-1.5801368729234828,-0.92787832318062
