timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2013-05-29,2,0,0,3,66.9935052281029,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.2900215894418775
2013-05-30,5,1,0,3,213.93316068130807,0.820347885909671,0.97333507038167,-0.9489346107044244,-0.6667388945765543,1.909025179727707
2013-05-31,4,0,0,2,79.23769274334508,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.1067794216727101
2013-06-01,4,1,0,2,25.053214358476,-0.0621305287135154,0.97333507038167,-0.9489346107044244,-1.0990655605703168,-0.9176851078462546
2013-06-02,3,0,0,0,69.48738479658513,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-0.252699072311603
2013-06-03,5,0,0,4,199.62196534677545,0.820347885909671,-0.6048151289613374,-0.9489346107044244,-0.2344122285827918,1.6948489060302283
2013-06-04,5,0,0,3,64.57173266172192,0.820347885909671,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.3262649787525298
2013-06-05,5,1,0,3,22.08033076311501,0.820347885909671,0.97333507038167,-0.9489346107044244,-0.6667388945765543,-0.9621762293568652
2013-06-06,2,0,0,2,42.82705835329259,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.6516880623790223
2013-06-07,3,1,0,2,44.59187112131277,-0.944608943336702,0.97333507038167,-0.9489346107044244,-1.0990655605703168,-0.6252765004100349
2013-06-08,3,0,0,0,13.475559288989023,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.090952187427935
2013-06-09,1,0,0,0,1.9182958340544896,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.263914093338414
2013-06-10,5,1,0,0,5.491853096329674,0.820347885909671,0.97333507038167,-0.9489346107044244,-1.9637188925578417,-1.2104335027666513
2013-06-11,5,1,0,2,20.02227183147767,0.820347885909671,0.97333507038167,-0.9489346107044244,-1.0990655605703168,-0.9929764094064164
2013-06-12,4,0,0,3,112.40501815197707,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,0.3895910071056262
2013-06-13,1,0,0,0,4.584962500721156,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.224005705778236
2013-06-14,5,1,0,2,43.23191869304116,0.820347885909671,0.97333507038167,-0.9489346107044244,-1.0990655605703168,-0.6456290661241106
2013-06-15,0,0,0,0,14.124304047658429,-3.592044187206261,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.081243303456705
2013-06-16,4,0,0,0,6.5661656266226025,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.1943557224592691
2013-06-17,4,1,0,3,60.901473018622255,-0.0621305287135154,0.97333507038167,-0.9489346107044244,-0.6667388945765543,-0.3811927828587683
2013-06-18,3,0,0,0,27.99299173733997,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-0.873689442230124
2013-06-19,2,0,0,2,25.59147810354124,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.9096296435408834
2013-06-20,5,0,0,0,54.44688632363855,0.820347885909671,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-0.4777898381203355
2013-06-21,3,0,0,1,10.83659166810898,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-1.1304460408927508
2013-06-22,2,0,0,0,0.0,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.2926226284386098
2013-06-23,3,0,0,0,0.0,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.2926226284386098
2013-06-24,4,0,0,2,61.27119235818404,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.3756596943493715
2013-06-25,3,0,0,2,22.5390448196398,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.9553112774767056
2013-06-26,4,1,0,2,27.659296264440812,-0.0621305287135154,0.97333507038167,-0.9489346107044244,-1.0990655605703168,-0.8786834103274502
2013-06-27,4,1,0,3,26.54899791991187,-0.0621305287135154,0.97333507038167,-0.9489346107044244,-0.6667388945765543,-0.8952997415677822
2013-06-28,5,1,0,3,63.04862135263422,0.820347885909671,0.97333507038167,-0.9489346107044244,-0.6667388945765543,-0.3490593224101657
2013-06-29,2,1,0,0,0.0,-1.8270873579598883,0.97333507038167,-0.9489346107044244,-1.9637188925578417,-1.2926226284386098
2013-06-30,1,0,0,0,3.887712379549449,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.234440503801524
2013-07-01,5,1,0,2,27.356539115744305,0.820347885909671,0.97333507038167,-0.9489346107044244,-1.0990655605703168,-0.8832143664374983
2013-07-02,5,0,0,2,34.78956739928771,0.820347885909671,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.7719743013804672
