timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2010-06-21,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-06-22,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-06-23,0,0,0,0,1.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.177343194438501
2010-06-24,0,0,0,0,1.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.177343194438501
2010-06-25,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-06-26,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-06-27,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-06-28,0,0,0,0,5.836591668108979,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1573997705040626
2010-06-29,0,0,0,0,2.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1732197485693907
2010-06-30,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-01,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-02,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-03,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-04,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-05,0,0,0,0,1.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.177343194438501
2010-07-06,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-07,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
2010-07-08,0,0,0,0,1.8365916681089791,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.173893553980505
2010-07-09,0,0,0,0,3.887712379549449,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1654358687558686
2010-07-10,0,0,0,0,1.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.177343194438501
2010-07-11,0,0,0,0,7.673183336217958,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1498266841769558
2010-07-12,0,0,0,0,3.836591668108979,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.165646662242284
2010-07-13,0,0,0,0,0.0,-3.0093474474553923,-1.219472960993521,-0.8238812157454197,-1.7308584588757043,-1.1814666403076115
