timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2013-09-08,0,1,0,0,1.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8188267102117079
2013-09-09,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-10,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-11,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-12,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-13,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-14,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-15,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-16,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-17,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-18,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-19,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-20,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-21,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-22,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-23,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-24,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-25,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-26,0,0,0,0,3.169925001442312,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.7520347286421649
2013-09-27,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-28,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-29,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-09-30,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-01,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-02,0,1,0,0,10.339850002884624,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.5313388528708697
2013-10-03,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-04,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-05,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-06,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-07,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-08,0,1,0,0,2.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.7880459313713575
2013-10-09,0,0,0,0,1.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8188267102117079
2013-10-10,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-11,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-12,0,1,0,0,1.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8188267102117079
2013-10-13,0,0,0,0,11.509775004326936,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.4953276501416772
2013-10-14,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-15,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-16,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-17,0,1,0,0,6.584962500721156,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.6469172146453593
2013-10-18,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-19,0,0,0,0,6.339850002884624,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.6544619682322715
2013-10-20,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-21,0,1,0,0,4.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.7264843736906565
2013-10-22,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-23,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-24,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-25,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-26,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-27,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-28,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-29,0,0,0,0,1.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8188267102117079
2013-10-30,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-10-31,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-11-01,0,1,0,0,0.0,-1.4723922248447945,4.636530968774959,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-11-02,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-11-03,0,0,0,0,6.339850002884624,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.6544619682322715
2013-11-04,0,0,0,0,3.169925001442312,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.7520347286421649
2013-11-05,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-11-06,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-11-07,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
2013-11-08,0,0,0,0,0.0,-1.4723922248447945,-0.1957080676593411,-0.4148527985026832,-1.119064821447212,-0.8496074890520584
